NameID,Week,WkDay,CumDay,DWB100,Sleep,Load,Match01,mcsleep_sas,mcload_sas,z2sleep,z2load,zgroupsleep,zgroupload
2,4,2,23,,,,0,,,,,,
2,4,3,24,65,7,300,0,-0.455882353,-36.23529412,-0.243176637,-0.15081545,2,2
2,4,4,25,40,6,600,0,-1.455882353,263.7647059,-0.776596357,0.138341992,1,2
2,4,5,26,55,6,540,0,-1.455882353,203.7647059,-0.776596357,0.080510504,1,2
2,4,6,27,75,8,180,0,0.544117647,-156.2352941,0.290243083,-0.266478427,2,2
2,4,7,28,55,5,0,0,-2.455882353,-336.2352941,-1.310016077,-0.439972893,1,2
2,5,1,29,,,,0,,,,,,
2,5,2,30,,,,0,,,,,,
2,5,3,31,80,8,1800,0,0.544117647,1463.764706,0.290243083,1.294971762,2,3
2,5,4,32,60,7,2400,0,-0.455882353,2063.764706,-0.243176637,1.873286646,2,3
2,5,5,33,60,9,2400,0,1.544117647,2063.764706,0.823662803,1.873286646,3,3
2,5,6,34,,,,0,,,,,,
2,5,7,35,,,,0,,,,,,
2,6,1,36,,,,0,,,,,,
2,6,2,37,75,8,1800,0,0.544117647,1463.764706,0.290243083,1.294971762,2,3
2,6,3,38,,,,0,,,,,,
2,6,4,39,,,,0,,,,,,
2,6,5,40,,,,0,,,,,,
2,6,6,41,,,,0,,,,,,
2,6,7,42,,,,0,,,,,,
2,7,1,43,65,7,180,0,-0.455882353,-156.2352941,-0.243176637,-0.266478427,2,2
2,7,2,44,75,7,0,0,-0.455882353,-336.2352941,-0.243176637,-0.439972893,2,2
2,7,3,45,55,7,240,0,-0.455882353,-96.23529412,-0.243176637,-0.208646939,2,2
2,7,4,46,40,7,360,0,-0.455882353,23.76470588,-0.243176637,-0.092983962,2,2
2,7,5,47,70,9,240,0,1.544117647,-96.23529412,0.823662803,-0.208646939,3,2
2,7,6,48,75,9,300,0,1.544117647,-36.23529412,0.823662803,-0.15081545,3,2
2,7,7,49,90,8,0,0,0.544117647,-336.2352941,0.290243083,-0.439972893,2,2
2,8,1,50,45,7,490,0,-0.455882353,153.7647059,-0.243176637,0.032317597,2,2
2,8,2,51,65,8,480,0,0.544117647,143.7647059,0.290243083,0.022679015,2,2
2,8,3,52,60,7,240,0,-0.455882353,-96.23529412,-0.243176637,-0.208646939,2,2
2,8,4,53,60,7,615,0,-0.455882353,278.7647059,-0.243176637,0.152799864,2,2
2,8,5,54,60,7,435,0,-0.455882353,98.76470588,-0.243176637,-0.020694601,2,2
2,8,6,55,,,,0,,,,,,
2,8,7,56,,,,0,,,,,,
2,9,1,57,55,8,1680,1,0.544117647,1343.764706,0.290243083,1.179308785,2,3
2,9,2,58,65,7,10,0,-0.455882353,-326.2352941,-0.243176637,-0.430334311,2,2
2,9,3,59,85,8,120,0,0.544117647,-216.2352941,0.290243083,-0.324309916,2,2
2,9,4,60,55,7,360,1,-0.455882353,23.76470588,-0.243176637,-0.092983962,2,2
2,9,5,61,80,9,400,0,1.544117647,63.76470588,0.823662803,-0.054429636,3,2
2,9,6,62,75,8,180,0,0.544117647,-156.2352941,0.290243083,-0.266478427,2,2
2,9,7,63,65,7,760,1,-0.455882353,423.7647059,-0.243176637,0.292559295,2,2
2,10,1,64,75,8,0,0,0.544117647,-336.2352941,0.290243083,-0.439972893,2,2
2,10,2,65,40,8,320,0,0.544117647,-16.23529412,0.290243083,-0.131538288,2,2
2,10,3,66,,,,0,,,,,,
2,10,4,67,75,7,100,1,-0.455882353,-236.2352941,-0.243176637,-0.343587079,2,2
2,10,5,68,,,,0,,,,,,
2,10,6,69,,,,0,,,,,,
2,10,7,70,,,,0,,,,,,
2,11,1,71,,,,0,,,,,,
2,11,2,72,35,6,0,0,-1.455882353,-336.2352941,-0.776596357,-0.439972893,1,2
2,11,3,73,25,6,360,1,-1.455882353,23.76470588,-0.776596357,-0.092983962,1,2
2,11,4,74,35,6,360,1,-1.455882353,23.76470588,-0.776596357,-0.092983962,1,2
2,11,5,75,55,8,0,0,0.544117647,-336.2352941,0.290243083,-0.439972893,2,2
2,11,6,76,,,,0,,,,,,
2,11,7,77,65,9,900,1,1.544117647,563.7647059,0.823662803,0.427499434,3,2
2,12,1,78,45,7,480,1,-0.455882353,143.7647059,-0.243176637,0.022679015,2,2
2,12,2,79,60,7,360,1,-0.455882353,23.76470588,-0.243176637,-0.092983962,2,2
2,12,3,80,,,,0,,,,,,
2,12,4,81,75,8,0,0,0.544117647,-336.2352941,0.290243083,-0.439972893,2,2
2,12,5,82,75,8,1200,0,0.544117647,863.7647059,0.290243083,0.716656877,2,3
2,12,6,83,75,8,180,0,0.544117647,-156.2352941,0.290243083,-0.266478427,2,2
2,12,7,84,75,10,720,1,2.544117647,383.7647059,1.357082523,0.254004969,3,2
2,13,1,85,75,7,900,1,-0.455882353,563.7647059,-0.243176637,0.427499434,2,2
2,13,2,86,75,8,970,1,0.544117647,633.7647059,0.290243083,0.494969504,2,2
2,13,3,87,60,8,510,0,0.544117647,173.7647059,0.290243083,0.051594759,2,2
2,13,4,88,65,7,100,0,-0.455882353,-236.2352941,-0.243176637,-0.343587079,2,2
2,13,5,89,,,,0,,,,,,
2,13,6,90,70,8,180,0,0.544117647,-156.2352941,0.290243083,-0.266478427,2,2
2,13,7,91,75,8,240,1,0.544117647,-96.23529412,0.290243083,-0.208646939,2,2
3,1,1,1,60,7,120,0,-0.223880597,-216.2352941,-0.094997384,-0.25892973,2,2
3,1,2,2,45,7,240,0,-0.223880597,-96.23529412,-0.094997384,-0.127793035,2,2
3,1,3,3,60,8,870,0,0.776119403,533.7647059,0.329324263,0.560674611,2,3
3,1,4,4,65,6,400,1,-1.223880597,63.76470588,-0.51931903,0.047055891,1,2
3,1,5,5,10,8,480,0,0.776119403,143.7647059,0.329324263,0.134480354,2,2
3,1,6,6,65,8,180,0,0.776119403,-156.2352941,0.329324263,-0.193361382,2,2
3,1,7,7,55,8,0,0,0.776119403,-336.2352941,0.329324263,-0.390066424,2,2
3,2,1,8,45,6,0,0,-1.223880597,-336.2352941,-0.51931903,-0.390066424,1,2
3,2,2,9,55,7,385,0,-0.223880597,48.76470588,-0.094997384,0.030663804,2,2
3,2,3,10,60,7,0,0,-0.223880597,-336.2352941,-0.094997384,-0.390066424,2,2
3,2,4,11,70,8,800,1,0.776119403,463.7647059,0.329324263,0.484178206,2,2
3,2,5,12,75,9,520,0,1.776119403,183.7647059,0.75364591,0.178192586,3,2
3,2,6,13,30,6,0,0,-1.223880597,-336.2352941,-0.51931903,-0.390066424,1,2
3,2,7,14,25,6,0,0,-1.223880597,-336.2352941,-0.51931903,-0.390066424,1,2
3,3,1,15,25,5,0,0,-2.223880597,-336.2352941,-0.943640677,-0.390066424,1,2
3,3,2,16,30,6,0,0,-1.223880597,-336.2352941,-0.51931903,-0.390066424,1,2
3,3,3,17,30,6,0,0,-1.223880597,-336.2352941,-0.51931903,-0.390066424,1,2
3,3,4,18,25,6,0,0,-1.223880597,-336.2352941,-0.51931903,-0.390066424,1,2
3,3,5,19,30,6,0,0,-1.223880597,-336.2352941,-0.51931903,-0.390066424,1,2
3,3,6,20,,,,0,,,,,,
3,3,7,21,60,8,0,0,0.776119403,-336.2352941,0.329324263,-0.390066424,2,2
3,4,1,22,40,8,0,0,0.776119403,-336.2352941,0.329324263,-0.390066424,2,2
3,4,2,23,35,8,720,0,0.776119403,383.7647059,0.329324263,0.396753743,2,2
3,4,3,24,35,9,800,1,1.776119403,463.7647059,0.75364591,0.484178206,3,2
3,4,4,25,25,8,600,0,0.776119403,263.7647059,0.329324263,0.265617049,2,2
3,4,5,26,35,8,240,0,0.776119403,-96.23529412,0.329324263,-0.127793035,2,2
3,4,6,27,60,8,320,0,0.776119403,-16.23529412,0.329324263,-0.040368572,2,2
3,4,7,28,60,7,0,0,-0.223880597,-336.2352941,-0.094997384,-0.390066424,2,2
3,5,1,29,55,10,0,0,2.776119403,-336.2352941,1.177967557,-0.390066424,3,2
3,5,2,30,,,,0,,,,,,
3,5,3,31,,,,0,,,,,,
