player_id,cum_day,prev_day,curr_day,prev_DWB,curr_DWB,change_DWB,z2prev_DWB,z2sleep,z2load,match
2,26,26,27,55,75,20,-0.062122124,0.290243083,-0.266478427,0
2,27,27,28,75,55,-20,0.596839975,-1.310016077,-0.439972893,0
2,28,28,29,55,,,-0.062122124,,,0
2,29,29,30,,,,,,,0
2,30,30,31,,80,,,0.290243083,1.294971762,0
2,31,31,32,80,60,-20,0.7615805,-0.243176637,1.873286646,0
2,32,32,33,60,60,0,0.102618401,0.823662803,1.873286646,0
2,33,33,34,60,,,0.102618401,,,0
2,34,34,35,,,,,,,0
2,35,35,36,,,,,,,0
2,36,36,37,,75,,,0.290243083,1.294971762,0
2,37,37,38,75,,,0.596839975,,,0
2,38,38,39,,,,,,,0
2,39,39,40,,,,,,,0
2,40,40,41,,,,,,,0
2,41,41,42,,,,,,,0
2,42,42,43,,65,,,-0.243176637,-0.266478427,0
2,43,43,44,65,75,10,0.267358926,-0.243176637,-0.439972893,0
2,44,44,45,75,55,-20,0.596839975,-0.243176637,-0.208646939,0
2,45,45,46,55,40,-15,-0.062122124,-0.243176637,-0.092983962,0
2,46,46,47,40,70,30,-0.556343698,0.823662803,-0.208646939,0
2,47,47,48,70,75,5,0.43209945,0.823662803,-0.15081545,0
2,48,48,49,75,90,15,0.596839975,0.290243083,-0.439972893,0
2,49,49,50,90,45,-45,1.091061549,-0.243176637,0.032317597,0
2,50,50,51,45,65,20,-0.391603173,0.290243083,0.022679015,0
2,51,51,52,65,60,-5,0.267358926,-0.243176637,-0.208646939,0
2,52,52,53,60,60,0,0.102618401,-0.243176637,0.152799864,0
2,53,53,54,60,60,0,0.102618401,-0.243176637,-0.020694601,0
2,54,54,55,60,,,0.102618401,,,0
2,55,55,56,,,,,,,0
2,56,56,57,,55,,,0.290243083,1.179308785,1
2,57,57,58,55,65,10,-0.062122124,-0.243176637,-0.430334311,0
2,58,58,59,65,85,20,0.267358926,0.290243083,-0.324309916,0
2,59,59,60,85,55,-30,0.926321025,-0.243176637,-0.092983962,1
2,60,60,61,55,80,25,-0.062122124,0.823662803,-0.054429636,0
2,61,61,62,80,75,-5,0.7615805,0.290243083,-0.266478427,0
2,62,62,63,75,65,-10,0.596839975,-0.243176637,0.292559295,1
2,63,63,64,65,75,10,0.267358926,0.290243083,-0.439972893,0
2,64,64,65,75,40,-35,0.596839975,0.290243083,-0.131538288,0
2,65,65,66,40,,,-0.556343698,,,0
